market_date,timestamp_et,deployment_signal,market_condition,recovery_stage,supportive_family_count,vol_structure_state,vol_structure_supportive,breadth_thrust_state,breadth_thrust_supportive,risk_appetite_state,risk_appetite_supportive,options_sentiment_state,options_sentiment_supportive,vol_structure_last_updated,breadth_thrust_last_updated,risk_appetite_last_updated,options_sentiment_last_updated,t2108_value,t2108_state,t2108_direction,t2108_coverage_pct
2026-09-14,2026-09-14T13:15:17.994427-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T13:15:17.994427-04:00,2026-09-14,,32.83712784588441,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T13:41:12.566099-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T13:41:12.566099-04:00,2026-09-14,,32.57443082311734,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T13:50:57.781001-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T13:50:57.781001-04:00,2026-09-14,,32.443082311733804,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T14:06:00.666234-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T14:06:00.666234-04:00,2026-09-14,,32.13660245183888,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T14:13:10.225565-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T14:13:10.225565-04:00,2026-09-14,,32.09281961471103,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T14:29:42.758128-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T14:29:42.758128-04:00,2026-09-14,,32.31173380035026,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T14:42:56.739736-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T14:42:56.739736-04:00,2026-09-14,,32.31173380035026,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T14:55:34.105027-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T14:55:34.105027-04:00,2026-09-14,,32.61821366024518,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T15:07:43.275270-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T15:07:43.275270-04:00,2026-09-14,,32.31173380035026,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T15:19:15.542189-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T15:19:15.542189-04:00,2026-09-14,,32.486865148861646,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T15:28:40.667432-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T15:28:40.667432-04:00,2026-09-14,,32.180385288966725,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T15:38:45.508827-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T15:38:45.508827-04:00,2026-09-14,,32.31173380035026,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T16:03:04.238862-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T16:03:04.238862-04:00,2026-09-14,,32.66199649737303,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T16:12:55.387262-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,DEVELOPING,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T16:12:55.387262-04:00,2026-09-14,,32.61821366024518,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T16:28:32.470198-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T16:28:32.470198-04:00,2026-09-14,,32.66199649737303,WEAK,FALLING,99.4773519163763
2026-09-14,2026-09-14T16:36:19.329735-04:00,DEPLOY,RECOVERING_FROM_OVERSOLD,EARLY,1,NORMALIZED,True,MIXED,False,MIXED,False,UNAVAILABLE,False,2026-09-11,2026-09-14T16:36:19.329735-04:00,2026-09-14,,32.66199649737303,WEAK,FALLING,99.4773519163763
